,elevation,slope_angle,bearing_angle
0,561.5074462890625,-0.058837776738406226,135.0
1,664.1353759765625,-4.905099866298141,45.0
2,579.55615234375,0.030090332031348112,90.0
3,601.7788696289062,-0.6900037767743075,45.0
4,745.3501586914062,-6.714856771452806,45.0
5,538.5625,-0.1301267001528518,225.0
6,622.9701538085938,-1.8428309008825428,135.0
7,712.5863037109375,-6.616577148480757,90.0
8,928.26953125,-4.7993774414444825,90.0
9,610.06494140625,-3.0367983270942815,225.0
10,524.0731201171875,-2.747197727146413,315.0
11,591.4718627929688,-3.829292117383666,45.0
12,583.25732421875,-1.6005249023397314,180.0
13,559.609375,-3.986335883821345,45.0
14,529.0568237304688,-0.9486102435290877,315.0
15,701.8175659179688,-4.798818809934821,135.0
16,559.709228515625,-0.46697998047212746,90.0
17,592.4525756835938,-10.051574707113822,90.0
18,693.5863037109375,-6.200500488265682,0.0
19,522.2515869140625,-1.1306784698588062,315.0
